key_or_source_string,source_files,english_value,russian_value,japanese_value,market_adaptation
Copy,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/Calculators/InventoryMetricsCalculator.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/Calculators/VehicleFinancialsCalculator.swift,Copy,Копировать,コピー,no
Copy Link,catalog/manual,Copy Link,Копировать ссылку,リンクをコピー,no
Copy Report,iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift,Copy Report,Копировать отчет,レポートをコピー,no
Copy Token,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Copy Token,Копировать токен,トークンをコピー,no
Create,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/FinancialAccountsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/PasswordResetView.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Client+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/PersistenceController.swift,Create,Создать,作成,no
Create Account,iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddFinancialAccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Create Account,Создать аккаунт,アカウントを作成,yes
Create Account Now,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Create Account Now,Создать аккаунт сейчас,今すぐアカウントを作成,yes
Create Business,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Create Business,Создать бизнес,事業を作成,no
Create Cash + Bank,iOS Car Dealer Tracker/Ezcar24Business/Views/FinancialAccountsView.swift,Create Cash + Bank,Создать наличные + банк,現金・銀行口座を作成,yes
Create Database,catalog/manual,Create Database,Создать базу данных,データベースを作成,no
Create New Database,catalog/manual,Create New Database,Создать новую базу данных,新しいデータベースを作成,no
Create a new database to export your data,catalog/manual,Create a new database to export your data,Создайте новую базу данных для экспорта.,データをエクスポートする新しいデータベースを作成します,no
Create a new password to regain access. You'll sign in again after saving.,iOS Car Dealer Tracker/Ezcar24Business/Auth/PasswordResetView.swift,Create a new password to regain access. You'll sign in again after saving.,Создайте новый пароль для восстановления доступа. После сохранения нужно будет войти снова.,アクセスを再開するため新しいパスワードを設定します。保存後に再度サインインします。,no
Create a reminder to stay on track.,iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift,Create a reminder to stay on track.,"Создайте напоминание, чтобы не забыть.",対応漏れを防ぐためリマインダーを作成します。,no
"Create backups locally, share via email, and push a copy to Supabase storage for safekeeping.",catalog/manual,"Create backups locally, share via email, and push a copy to Supabase storage for safekeeping.","Создавайте локальные резервные копии, отправляйте по email и сохраняйте копию в Supabase для надежности.",ローカルでバックアップを作成し、メール共有や保管用のSupabaseストレージへのコピー保存ができます。,no
"Create local backups, generate PDF reports, or archive your entire dataset to the cloud.",iOS Car Dealer Tracker/Ezcar24Business/Views/BackupCenterView.swift,"Create local backups, generate PDF reports, or archive your entire dataset to the cloud.","Создавайте локальные резервные копии, PDF-отчеты или архивируйте данные в облаке.",ローカルバックアップ、PDFレポート作成、全データのクラウドアーカイブを行えます。,no
Create your account,iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift,Create your account,Создайте аккаунт,アカウントを作成,yes
Creating...,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Creating...,Создание...,作成中...,no
Current Balance,iOS Car Dealer Tracker/Ezcar24Business/Views/FinancialAccountsView.swift,Current Balance,Текущий баланс,現在残高,no
Current: %@,catalog/manual,Current: %@,Текущий: %@,現在: %@,no
Currently exporting:,catalog/manual,Currently exporting:,Сейчас экспортируется:,現在エクスポート中:,no
Custom Range Report,iOS Car Dealer Tracker/Ezcar24Business/Views/BackupCenterView.swift,Custom Range Report,Отчет за произвольный период,期間指定レポート,no
Customize Share,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Customize Share,Настроить отправку,共有内容をカスタマイズ,no
Data Management,iOS Car Dealer Tracker/Ezcar24Business/Views/BackupCenterView.swift,Data Management,Управление данными,データ管理,no
Database Name,catalog/manual,Database Name,Название базы,データベース名,no
Database Type,catalog/manual,Database Type,Тип базы,データベース種別,no
Date,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift,Date,Дата,日付,no
Date Range,catalog/manual,Date Range,Диапазон дат,期間,no
Date ↑,iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,Date ↑,Дата ↑,日付 ↑,no
Date ↓,iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,Date ↓,Дата ↓,日付 ↓,no
Deal Desk,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Deal Desk,Калькулятор сделки,販売計算,no
Deal Desk settings saved.,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Deal Desk settings saved.,Настройки калькулятора сделки сохранены.,販売計算の設定を保存しました。,no
Deal Value (Optional),iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift,Deal Value (Optional),Стоимость сделки (необязательно),商談金額（任意）,no
Dealer & Contact,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Dealer & Contact,Дилер и контакты,販売店・連絡先,yes
Dealer Contact,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Dealer Contact,Контакты дилера,販売店連絡先,yes
Dealer name,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Dealer name,Название дилера,販売店名,yes
Debt Filter,iOS Car Dealer Tracker/Ezcar24Business/Views/SalesListView.swift,Debt Filter,Фильтр долгов,債務フィルター,yes
Deep dive into your business performance.,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Deep dive into your business performance.,Подробный анализ показателей бизнеса.,事業パフォーマンスを詳しく確認できます。,no
Default fees,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Default fees,Стандартные сборы,既定の諸費用,no
Default taxes,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Default taxes,Стандартные налоги,既定の税金,yes
Default template,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Default template,Шаблон по умолчанию,既定テンプレート,yes
Delete,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift,Delete,Удалить,削除,no
Delete Debt,iOS Car Dealer Tracker/Ezcar24Business/Views/DebtDetailView.swift,Delete Debt,Удалить долг,債務を削除,yes
Delivery,iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportSettingsView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/MonthlyReportSupport.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Delivery,Доставка,納車,no
Deposit to,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Deposit to,Зачислить на,入金先,no
Destination Database,catalog/manual,Destination Database,Целевая база данных,出力先データベース,no
Disconnect,catalog/manual,Disconnect,Отключить,解除,no
Display Mode,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift,Display Mode,Режим отображения,表示モード,no
Do you want to use this photo?,catalog/manual,Do you want to use this photo?,Использовать это фото?,この写真を使用しますか？,no
Doc fee,iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift,Doc fee,Документальный сбор,書類作成手数料,no
Documents,iOS Car Dealer Tracker/Ezcar24Business/Utilities/ImageStore.swift,Documents,Документы,書類,no
Don't have an account?,iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift,Don't have an account?,Нет аккаунта?,アカウントをお持ちでないですか？,yes
Done,iOS Car Dealer Tracker/Ezcar24Business/Auth/PasswordResetView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Done,Готово,完了,no
Down payment,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Down payment,Первоначальный взнос,頭金,no
Due %@,catalog/manual,Due %@,Срок %@,期限 %@,no
ELECTRICAL,iOS Car Dealer Tracker/Ezcar24Business/Views/AddPartView.swift,Electrical,Электрика,電装,no
Edit Client,iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift,Edit Client,Редактировать клиента,顧客を編集,no
Edit Profile,iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift,Edit Profile,Редактировать профиль,プロフィールを編集,no
Email,iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/AuthGateView.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/LoginView.swift; iOS Car Dealer Tracker/Ezcar24Business/Auth/AppSessionState.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/EditProfileView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportSettingsView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Email,Email,メール,no
Email Address,catalog/manual,Email Address,Электронная почта,メールアドレス,no
Email Reports,iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportSettingsView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Email Reports,Отчеты по email,メールレポート,no
Email is not verified yet. Please confirm your address to unlock all features.,iOS Car Dealer Tracker/Ezcar24Business/Auth/AuthGateView.swift,Email is not verified yet. Please confirm your address to unlock all features.,"Email не подтвержден. Подтвердите адрес, чтобы открыть все функции.",メールアドレスがまだ確認されていません。すべての機能を利用するには確認してください。,no
Email-ready archive,catalog/manual,Email-ready archive,Архив для отправки по email,メール送信用アーカイブ,no
Enable Deal Desk,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Enable Deal Desk,Включить калькулятор сделки,販売計算を有効にする,no
Enable monthly report emails,iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportSettingsView.swift,Enable monthly report emails,Включить ежемесячные отчеты по email,月次レポートメールを有効にする,no
End Date,catalog/manual,End Date,Дата окончания,終了日,no
Enter Team Invite Code,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Enter Team Invite Code,Введите код приглашения команды,チーム招待コードを入力,no
Enter business name,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Enter business name,Введите название бизнеса,事業名を入力,no
Enter database name,catalog/manual,Enter database name,Введите название базы данных,データベース名を入力,no
Enter the name of the new user.,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Enter the name of the new user.,Введите имя нового пользователя.,新しいユーザー名を入力してください。,no
Enter the user's name,iOS Car Dealer Tracker/Ezcar24Business/Views/UserManagementView.swift,Enter the user's name,Введите имя пользователя,ユーザー名を入力,no
Entity Counts,iOS Car Dealer Tracker/Ezcar24Business/Views/DataHealthView.swift,Entity Counts,Количество объектов,データ件数,no
Error,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/FinancialAccountsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift,Error,Ошибка,エラー,no
